year,zip_code,median_house_value
2011,11201,676200
2011,11203,438600
2011,11204,646800
2011,11205,619100
2011,11206,547700
2011,11207,438700
2011,11208,468000
2011,11209,611400
2011,11210,513500
2011,11211,661400
2011,11212,399000
2011,11213,587100
2011,11214,610600
2011,11215,906600
2011,11216,644300
2011,11217,870700
2011,11218,572600
2011,11219,701300
2011,11220,621600
2011,11221,563100
2011,11222,700600
2011,11223,631600
2011,11224,355800
2011,11225,639400
2011,11226,489800
2011,11228,670300
2011,11229,549700
2011,11230,597300
2011,11231,894400
2011,11232,596300
2011,11233,564100
2011,11234,499600
2011,11235,536400
2011,11236,493300
2011,11237,500500
2011,11238,635900
2011,11239,379200
2011,78610,182900
2011,78613,192700
2011,78617,102900
2011,78641,157000
2011,78652,191200
2011,78653,143500
2011,78660,163000
2011,78664,147600
2011,78681,210300
2011,78701,317100
2011,78702,167500
2011,78703,593800
2011,78704,330100
2011,78705,300000
2011,78712,
2011,78717,245700
2011,78719,105900
2011,78721,121700
2011,78722,251200
2011,78723,168300
2011,78724,106300
2011,78725,112900
2011,78726,348100
2011,78727,197300
2011,78728,167200
2011,78729,187300
2011,78730,579300
2011,78731,429700
2011,78732,375300
2011,78733,439800
2011,78734,322500
2011,78735,375100
2011,78736,212600
2011,78737,325000
2011,78738,459300
2011,78739,349000
2011,78741,117000
2011,78742,44200
2011,78744,108800
2011,78745,159800
2011,78746,610800
2011,78747,170700
2011,78748,181800
2011,78749,229900
2011,78750,295300
2011,78751,300300
2011,78752,148900
2011,78753,134000
2011,78754,164300
2011,78756,330600
2011,78757,238300
2011,78758,140700
2011,78759,302300
2011,94102,574900
2011,94103,655700
2011,94104,1000001
2011,94105,754900
2011,94107,757900
2011,94108,717300
2011,94109,747000
2011,94110,755200
2011,94111,927500
2011,94112,624700
2011,94114,1000001
2011,94115,986800
2011,94116,751700
2011,94117,898900
2011,94118,1000001
2011,94121,867900
2011,94122,767800
2011,94123,1000001
2011,94124,534900
2011,94127,948700
2011,94129,1000001
2011,94130,
2011,94131,868500
2011,94132,734900
2011,94133,875400
2011,94134,576900
2011,94158,690000
2011,94577,452500
2011,94601,360500
2011,94602,578600
2011,94603,297200
2011,94605,430500
2011,94606,386100
2011,94607,369300
2011,94608,390500
2011,94609,519600
2011,94610,723000
2011,94611,867900
2011,94612,401600
2011,94613,
2011,94618,867200
2011,94619,496100
2011,94621,319800
2011,94704,670000
2011,94705,962000
2011,97034,593300
2011,97035,441100
2011,97080,263900
2011,97086,407300
2011,97201,606900
2011,97202,362200
2011,97203,229500
2011,97204,336100
2011,97205,548000
2011,97206,232700
2011,97208,
2011,97209,377800
2011,97210,590000
2011,97211,306200
2011,97212,467000
2011,97213,316500
2011,97214,396900
2011,97215,373800
2011,97216,221200
2011,97217,268400
2011,97218,253300
2011,97219,367100
2011,97220,222000
2011,97221,444700
2011,97222,243100
2011,97223,324200
2011,97225,439400
2011,97227,324100
2011,97229,434900
2011,97230,246300
2011,97231,398200
2011,97232,451200
2011,97233,209300
2011,97236,216800
2011,97239,446000
2011,97266,201400
2014,11201,714700
2014,11203,420600
2014,11204,660800
2014,11205,621400
2014,11206,527800
2014,11207,400600
2014,11208,423100
2014,11209,629200
2014,11210,480500
2014,11211,674900
2014,11212,383200
2014,11213,599600
2014,11214,616600
2014,11215,937700
2014,11216,646600
2014,11217,890100
2014,11218,571800
2014,11219,746900
2014,11220,617000
2014,11221,541100
2014,11222,702800
2014,11223,612400
2014,11224,320100
2014,11225,616600
2014,11226,485900
2014,11228,690600
2014,11229,514300
2014,11230,629700
2014,11231,939100
2014,11232,549000
2014,11233,547500
2014,11234,488400
2014,11235,525600
2014,11236,467500
2014,11237,496100
2014,11238,676800
2014,11239,369600
2014,78610,183300
2014,78613,210100
2014,78617,96000
2014,78641,160200
2014,78652,189500
2014,78653,139400
2014,78660,168100
2014,78664,150400
2014,78681,219400
2014,78701,430800
2014,78702,203200
2014,78703,692800
2014,78704,361300
2014,78705,342000
2014,78712,
2014,78717,253400
2014,78719,112200
2014,78721,140400
2014,78722,288600
2014,78723,189100
2014,78724,97900
2014,78725,115800
2014,78726,350500
2014,78727,206400
2014,78728,175200
2014,78729,198600
2014,78730,557000
2014,78731,452500
2014,78732,411100
2014,78733,489900
2014,78734,325000
2014,78735,387600
2014,78736,237000
2014,78737,341300
2014,78738,456300
2014,78739,364600
2014,78741,133400
2014,78742,84500
2014,78744,107200
2014,78745,174600
2014,78746,666600
2014,78747,168100
2014,78748,192800
2014,78749,248300
2014,78750,312500
2014,78751,295700
2014,78752,170600
2014,78753,136300
2014,78754,163000
2014,78756,377600
2014,78757,277100
2014,78758,147200
2014,78759,320900
2014,94102,579300
2014,94103,636700
2014,94104,1000001
2014,94105,735100
2014,94107,747800
2014,94108,860600
2014,94109,748500
2014,94110,787100
2014,94111,908900
2014,94112,612700
2014,94114,1000001
2014,94115,979000
2014,94116,763200
2014,94117,938400
2014,94118,1000001
2014,94121,864200
2014,94122,797400
2014,94123,1000001
2014,94124,474300
2014,94127,938800
2014,94129,1000001
2014,94130,
2014,94131,873100
2014,94132,747100
2014,94133,953900
2014,94134,555700
2014,94158,694700
2014,94577,381300
2014,94601,262300
2014,94602,547500
2014,94603,206800
2014,94605,370200
2014,94606,337200
2014,94607,347500
2014,94608,361300
2014,94609,517500
2014,94610,690300
2014,94611,812100
2014,94612,362600
2014,94613,
2014,94618,886200
2014,94619,457500
2014,94621,180700
2014,94704,723600
2014,94705,951200
2014,97034,556900
2014,97035,411300
2014,97080,237300
2014,97086,358500
2014,97201,542000
2014,97202,362400
2014,97203,223800
2014,97204,69800
2014,97205,396800
2014,97206,228600
2014,97208,
2014,97209,367300
2014,97210,598700
2014,97211,315700
2014,97212,470900
2014,97213,318400
2014,97214,390400
2014,97215,360000
2014,97216,212800
2014,97217,269800
2014,97218,250300
2014,97219,344100
2014,97220,201400
2014,97221,439400
2014,97222,226300
2014,97223,299700
2014,97225,393500
2014,97227,345300
2014,97229,404100
2014,97230,224400
2014,97231,458200
2014,97232,444000
2014,97233,173600
2014,97236,190100
2014,97239,427500
2014,97266,180600
